,date,cases,deaths
0,1/22/20,1,1
1,1/23/20,1,1
2,1/24/20,2,1
3,1/25/20,2,1
4,1/26/20,5,1
5,1/27/20,5,1
6,1/28/20,5,1
7,1/29/20,6,1
8,1/30/20,6,1
9,1/31/20,8,1
10,2/1/20,8,1
11,2/2/20,8,1
12,2/3/20,11,1
13,2/4/20,11,1
14,2/5/20,11,1
15,2/6/20,12,1
16,2/7/20,12,1
17,2/8/20,12,1
18,2/9/20,12,1
19,2/10/20,12,1
20,2/11/20,13,1
21,2/12/20,13,1
22,2/13/20,14,1
23,2/14/20,14,1
24,2/15/20,14,1
25,2/16/20,14,1
26,2/17/20,14,1
27,2/18/20,14,1
28,2/19/20,14,1
29,2/20/20,14,1
30,2/21/20,16,1
31,2/22/20,16,1
32,2/23/20,16,1
33,2/24/20,16,1
34,2/25/20,16,1
35,2/26/20,16,1
36,2/27/20,17,1
37,2/28/20,17,1
38,2/29/20,25,2
39,3/1/20,32,2
40,3/2/20,55,7
41,3/3/20,75,8
42,3/4/20,108,12
43,3/5/20,185,13
44,3/6/20,238,15
45,3/7/20,404,18
46,3/8/20,520,22
47,3/9/20,595,23
48,3/10/20,783,29
49,3/11/20,1151,34
50,3/12/20,1591,44
51,3/13/20,2224,52
52,3/14/20,2989,60
53,3/15/20,3233,72
54,3/16/20,4691,99
55,3/17/20,6533,137
56,3/18/20,9194,198
57,3/19/20,13689,271
58,3/20/20,20063,379
59,3/21/20,26072,481
60,3/22/20,34898,597
61,3/23/20,46136,789
62,3/24/20,56755,1032
63,3/25/20,68837,1365
64,3/26/20,86693,1784
65,3/27/20,105383,2306
66,3/28/20,125013,2948
67,3/29/20,143912,3572
68,3/30/20,165987,4285
69,3/31/20,192301,5370
70,4/1/20,224560,6653
71,4/2/20,256792,8165
72,4/3/20,289087,9596
73,4/4/20,321477,11159
74,4/5/20,351354,12774
75,4/6/20,382747,14545
76,4/7/20,413516,17120
77,4/8/20,444731,19280
78,4/9/20,480667,21483
79,4/10/20,515081,23677
80,4/11/20,544183,25804
81,4/12/20,571440,27678
82,4/13/20,598380,29687
83,4/14/20,627205,32122
84,4/15/20,652611,34734
85,4/16/20,682626,36877
86,4/17/20,715656,38987
87,4/18/20,743588,40960
88,4/19/20,769684,42931
89,4/20/20,799512,45161
90,4/21/20,825429,47675
91,4/22/20,854288,50135
92,4/23/20,887858,52591
93,4/24/20,920185,54779
94,4/25/20,950581,56490
95,4/26/20,977082,57889
96,4/27/20,1000785,59397
97,4/28/20,1025362,61621
98,4/29/20,1051800,64039
99,4/30/20,1081020,66235
100,5/1/20,1115946,68144
101,5/2/20,1143296,69875
102,5/3/20,1167593,71065
103,5/4/20,1191678,72445
104,5/5/20,1216209,74687
105,5/6/20,1240769,77001
106,5/7/20,1268180,78930
107,5/8/20,1295019,80693
108,5/9/20,1320155,82161
109,5/10/20,1339022,83139
110,5/11/20,1358293,84181
111,5/12/20,1381241,85780
112,5/13/20,1401649,87507
113,5/14/20,1428467,89303
114,5/15/20,1453214,90971
115,5/16/20,1477373,92169
116,5/17/20,1495736,92990
117,5/18/20,1518126,94217
118,5/19/20,1539133,95673
119,5/20/20,1561830,97174
120,5/21/20,1587596,98359
121,5/22/20,1611253,99576
122,5/23/20,1632364,100666
123,5/24/20,1652431,101305
124,5/25/20,1671104,101897
125,5/26/20,1690754,102574
126,5/27/20,1709303,104037
127,5/28/20,1731625,105138
128,5/29/20,1756098,106271
129,5/30/20,1779731,107225
130,5/31/20,1798718,107840
131,6/1/20,1816154,108616
132,6/2/20,1837656,109597
133,6/3/20,1857511,110607
134,6/4/20,1879150,111620
135,6/5/20,1904550,112511
136,6/6/20,1925710,113153
137,6/7/20,1943626,113612
138,6/8/20,1961263,114119
139,6/9/20,1979647,115032
140,6/10/20,2000757,115908
141,6/11/20,2023890,116738
142,6/12/20,2048756,117567
143,6/13/20,2073964,118302
144,6/14/20,2092912,118647
145,6/15/20,2112731,119043
146,6/16/20,2136401,119857
147,6/17/20,2163465,120596
148,6/18/20,2191991,121285
149,6/19/20,2223553,121914
150,6/20/20,2255823,122473
151,6/21/20,2280971,122790
152,6/22/20,2313123,123197
153,6/23/20,2350198,123945
154,6/24/20,2386074,124682
155,6/25/20,2426391,125219
156,6/26/20,2472385,125848
157,6/27/20,2513731,126351
158,6/28/20,2554461,126669
159,6/29/20,2595744,127054
160,6/30/20,2642174,127607
161,7/1/20,2693993,128311
162,7/2/20,2750622,129024
163,7/3/20,2801983,129694
164,7/4/20,2847664,130009
165,7/5/20,2898432,130335
166,7/6/20,2941517,130711
167,7/7/20,3002171,131873
168,7/8/20,3062290,132698
169,7/9/20,3124786,133718
170,7/10/20,3192841,134535
171,7/11/20,3252874,135263
172,7/12/20,3311312,135735
173,7/13/20,3370208,136180
174,7/14/20,3438244,137108
175,7/15/20,3506364,138083
176,7/16/20,3582184,139039
177,7/17/20,3654445,139963
178,7/18/20,3716980,140820
179,7/19/20,3777456,141303
180,7/20/20,3839546,141866
181,7/21/20,3904066,142957
182,7/22/20,3974630,144181
183,7/23/20,4043070,145251
184,7/24/20,4116393,146358
185,7/25/20,4181308,147288
186,7/26/20,4236083,147819
187,7/27/20,4292934,148945
188,7/28/20,4359391,150275
189,7/29/20,4431244,151689
190,7/30/20,4498701,152920
191,7/31/20,4567420,154157
192,8/1/20,4623604,155250
193,8/2/20,4669149,155687
194,8/3/20,4714678,156268
195,8/4/20,4773479,157550
196,8/5/20,4827936,158988
197,8/6/20,4887293,160232
198,8/7/20,4946590,161469
199,8/8/20,5000709,162547
200,8/9/20,5046463,163071
201,8/10/20,5094087,163706
202,8/11/20,5142088,164726
203,8/12/20,5198137,166225
204,8/13/20,5249451,167292
205,8/14/20,5314791,168629
206,8/15/20,5361712,169629
207,8/16/20,5400904,170246
208,8/17/20,5437580,170739
209,8/18/20,5482614,171965
210,8/19/20,5529973,173304
211,8/20/20,5574013,174407
212,8/21/20,5622842,175498
213,8/22/20,5665887,176407
214,8/23/20,5700119,176952
