"province_state","first_date","ranks","state","tested","infected","deaths","population","pop_density","gini","icu_beds","income","gdp","unemployment","sex_ratio","smoking_rate","flu_deaths","respiratory_deaths","physicians","hospitals","health_spending","pollution","med_large_airports","temperature","urban","age_0_25","age_26_54","age_55_up","school_closure_date"
"Washington","2020-01-22","1","Washington",2469146,108315,2366,7797095,"117.3272","0.4591",1265,60781,74182,"3.8","0.9834525","13.5","10.9","34.5",22036,92,7913,"8","1","48.3","84.1","0.31","0.4","0.29","2020-03-17"
"Illinois","2020-01-24","2","Illinois",7882680,429761,10093,12659682,"228.0243","0.481",3144,56933,67268,"3.4","0.95503753","15.5","16.3","36.2",43377,187,8262,"9.3","2","51.8","88.5","0.33","0.38","0.28","2020-03-17"
"California","2020-01-26","3","California",18912501,930628,17672,39937489,"256.3727","0.4899",7338,62586,74205,"3.9","0.9751133","11.3","15.6","30.9",112906,359,7549,"12.8","9","59.4","95","0.33","0.4","0.26","2020-03-19"
"Arizona","2020-01-26","3","Arizona",1792602,248139,5982,7378494,"64.955","0.4713",1559,43650,48055,"4.5","0.9669647","15.6","12.4","41.2",17806,83,6452,"9.7","1","60.3","89.8","0.33","0.36","0.3","2020-03-16"
"Massachusetts","2020-01-29","5","Massachusetts",6217043,160549,10023,6976597,"894.4355","0.4786",1326,70073,82480,"2.8","0.9436616","13.7","15.8","30.9",36506,75,10559,"6.3","1","47.9","92","0.3","0.39","0.31","2020-03-17"
"Oregon","2020-02-29","6","Oregon",871900,45978,692,4301089,"44.8086","0.4583",659,49908,56956,"3.3","0.97626346","16.1","10.2","35.6",12149,61,8044,"7.8","1","48.4","81","0.3","0.39","0.31","2020-03-16"
"Rhode Island","2020-03-01","7","Rhode Island",1158387,34120,1210,1056161,"1021.4323","0.4781",279,54523,57852,"3.4","0.9428189","14.9","13.3","31.2",4988,11,9551,"7.3","0","50.1","90.7","0.29","0.39","0.32","2020-03-16"
"North Carolina","2020-03-02","8","North Carolina",4127596,278028,4390,10611862,"218.2702","0.478",2227,45834,54441,"3.6","0.9284731","17.2","16.9","42.6",28379,112,7264,"7.2","2","59","66.1","0.32","0.38","0.29","2020-03-16"
"Florida","2020-03-02","8","Florida",10126764,801371,17043,21992985,"410.1256","0.4852",5604,49417,48318,"2.8","0.9422131","16.1","9.6","37",56499,217,8076,"7.4","7","70.7","91.2","0.29","0.37","0.35","2020-03-16"
"New Hampshire","2020-03-02","8","New Hampshire",626532,11320,483,1371246,"153.1605","0.4304",242,61405,63067,"2.6","0.98393756","15.7","14.3","40.9",4240,28,9589,"4.4","0","43.8","60.3","0.28","0.37","0.34","2020-03-16"
"Missouri","2020-03-03","11","Missouri",2553774,188186,3031,6169270,"89.7453","0.4646",1888,46635,51699,"3.5","0.9517123","20.8","18.7","50.2",20275,122,8107,"7.5","2","54.6","70.4","0.33","0.37","0.31","2020-03-19"
"Georgia","2020-03-03","11","Georgia",3596700,362921,7999,10736059,"186.6719","0.4813",2508,45745,55832,"3.1","0.92764777","17.5","14.5","45.7",25312,145,6587,"8.3","1","63.5","75.1","0.35","0.39","0.26","2020-03-18"
"New York","2020-03-03","11","New York",14772754,511368,25838,19440469,"412.5211","0.5229",3952,68667,85746,"3.7","0.93755704","14.1","18.4","28.5",89500,166,9778,"6.6","3","45.4","87.9","0.31","0.39","0.3","2020-03-18"
"New Jersey","2020-03-05","14","New Jersey",4721797,240997,16357,8936574,"1215.1991","0.4813",1822,67609,69378,"3.8","0.9466984","13.7","12.6","28",30502,82,8859,"8.1","1","52.7","94.7","0.31","0.38","0.3","2020-03-18"
"Colorado","2020-03-05","14","Colorado",2034795,109910,2105,5845526,"56.4011","0.4586",1597,56846,63882,"2.5","0.9948495","14.6","9.7","44",14509,89,6804,"6.7","1","45.1","86.2","0.33","0.4","0.27","2020-03-23"
"Texas","2020-03-05","14","Texas",8291703,909257,18097,29472295,"112.8204","0.48",6199,49161,61167,"3.5","0.96959454","15.7","12.9","39.7",64602,523,6998,"8.3","6","64.8","84.7","0.36","0.39","0.24","2020-03-23"
"Tennessee","2020-03-05","14","Tennessee",3720657,264587,3379,6897576,"167.2748","0.479",2209,47179,53933,"3.4","0.9381633","22.6","20.7","55.9",18979,115,7372,"7.4","1","57.6","66.4","0.33","0.38","0.29","2020-03-20"
"Nevada","2020-03-05","14","Nevada",1270643,102114,1784,3139658,"28.5993","0.4577",900,48225,55269,"3.6","0.98812497","17.6","16","49.3",6151,44,6714,"9","1","49.9","94.2","0.32","0.4","0.29","2020-03-16"
"Nebraska","2020-03-06","19","Nebraska",950497,71666,654,1952570,"25.4161","0.4477",440,52110,63942,"2.9","0.99239177","15.4","16.1","47.7",5627,93,8412,"7.1","1","48.8","73.1","0.35","0.37","0.29",NULL
"Pennsylvania","2020-03-06","19","Pennsylvania",2550660,211996,8823,12820878,"286.5449","0.4689",3169,55349,61594,"4.7","0.9542092","18.7","15.5","35.1",51069,199,9258,"9.2","2","48.8","78.7","0.3","0.37","0.32","2020-03-16"
"Indiana","2020-03-06","19","Indiana",2970330,185185,4390,6745354,"188.281","0.4527",1861,46646,55172,"3.1","0.960335","21.8","14","57.2",16816,132,8300,"8.4","1","51.7","72.4","0.34","0.37","0.29","2020-03-19"
"Minnesota","2020-03-06","19","Minnesota",2872763,153620,2484,5700671,"71.5922","0.4496",1171,56374,64675,"3.1","0.98382807","14.5","10","34",18171,127,8871,"6.6","1","41.2","73.3","0.32","0.38","0.3","2020-03-18"
"Kentucky","2020-03-06","19","Kentucky",1926140,109670,1492,4499692,"113.9566","0.4813",1392,41779,46898,"4.2","0.9634847","24.6","18.3","62.1",11937,105,8004,"8.1","1","55.6","58.4","0.33","0.38","0.3","2020-03-16"
"Maryland","2020-03-06","19","Maryland",3479230,146995,4155,6083116,"626.6731","0.4499",1134,62914,68573,"3.3","0.9293783","13.8","13.6","31",24676,50,8602,"7.7","1","54.2","87.2","0.31","0.39","0.29","2020-03-16"
"Hawaii","2020-03-07","25","Hawaii",533672,15367,219,1412687,"219.9419","0.442",201,54565,64096,"2.7","0.9545979","12.8","24.5","19.6",3660,22,7299,"5.4","2","70","91.9","0.3","0.37","0.32","2020-03-23"
"South Carolina","2020-03-07","25","South Carolina",1842038,178917,3946,5210095,"173.3174","0.4735",1225,42736,45280,"2.5","0.92314684","18.8","14.5","45.8",12847,69,7311,"7.4","0","62.4","66.3","0.32","0.36","0.32","2020-03-16"
"Utah","2020-03-07","25","Utah",1410145,117706,614,3282115,"39.943","0.4063",565,45340,55550,"2.5","1.0073776","8.9","13.4","33.2",6761,54,5982,"8.4","1","48.6","90.6","0.42","0.37","0.21","2020-03-16"
"Oklahoma","2020-03-07","25","Oklahoma",1619827,125195,1354,3954821,"57.6547","0.4645",1064,46128,50613,"3.2","0.95744133","20.1","17.8","63.5",9472,125,7627,"8.2","0","59.6","66.2","0.35","0.37","0.29","2020-03-17"
"Virginia","2020-03-08","29","Virginia",2663155,183418,3658,8626207,"218.4403","0.4705",1654,56952,62563,"2.6","0.93655586","16.4","13.1","34.7",23307,96,7556,"6.9","2","55.1","75.5","0.33","0.38","0.29","2020-03-16"
"Vermont","2020-03-08","29","Vermont",415518,2219,58,628061,"68.1416","0.4539",94,53598,53523,"2.4","0.9717477","15.8","9.8","39.6",2338,14,10190,"5.1","0","42.9","38.9","0.27","0.36","0.36","2020-03-18"
"Kansas","2020-03-08","29","Kansas",655267,89227,1046,2910357,"35.5968","0.455",767,50155,56334,"3.1","0.9819218","17.4","17.1","50.4",7926,139,7651,"7","0","54.3","74.2","0.35","0.36","0.29","2020-03-18"
"Iowa","2020-03-09","32","Iowa",900994,123372,1741,3179849,"56.9284","0.4451",545,48823,59977,"2.8","0.9724111","17.1","15.7","43.8",8511,118,8200,"7.1","0","47.8","64","0.34","0.36","0.3",NULL
"Ohio","2020-03-10","33","Ohio",4564903,221909,5340,11747694,"287.5038","0.468",3314,48242,57492,"4.1","0.95029366","21.1","15.7","49",42373,194,8712,"8.5","3","50.7","77.9","0.32","0.37","0.31","2020-03-17"
"Wisconsin","2020-03-10","33","Wisconsin",3327915,244928,2113,5851754,"108.0497","0.4498",1159,50756,57720,"3.5","0.97958326","16","14.1","37.8",17695,133,8702,"6.8","1","43.1","70.2","0.32","0.37","0.31","2020-03-18"
"Connecticut","2020-03-10","33","Connecticut",2367994,73858,4627,3563077,"735.8689","0.4945",674,74561,76342,"3.8","0.94710624","12.7","14.8","28.9",15605,32,9859,"7.2","1","49","88","0.3","0.38","0.32","2020-03-17"
"Alabama","2020-03-11","36","Alabama",1356420,194892,2973,4908621,"96.9221","0.4847",1533,42334,45219,"2.7","0.9301445","20.9","21.4","58",12205,101,7281,"8.1","1","62.8","59","0.33","0.37","0.31","2020-03-16"
"Delaware","2020-03-11","36","Delaware",565983,25311,710,982895,"504.3073","0.4522",186,51449,77253,"3.9","0.9261939","17","13.1","40.4",3148,7,10254,"8.3","0","55.3","83.3","0.3","0.37","0.33","2020-03-16"
"Louisiana","2020-03-11","36","Louisiana",2788484,187995,5934,4645184,"107.5175","0.499",1289,45542,53589,"5.2","0.93128085","23.1","15.6","43.1",13821,158,7815,"7.9","1","66.4","73.2","0.34","0.37","0.28","2020-03-16"
"South Dakota","2020-03-11","36","South Dakota",263127,47850,438,903027,"11.9116","0.4495",152,50141,58624,"3.3","1.006232","19.3","20.7","43.7",2041,57,8933,"5.1","0","45.2","56.7","0.35","0.35","0.3","2020-03-16"
"Michigan","2020-03-11","36","Michigan",5008299,204326,7716,10045029,"177.6655","0.4695",2423,47582,53209,"3.6","0.9588497","19.3","14.5","44.1",38819,144,8055,"8","1","44.4","74.6","0.32","0.37","0.31","2020-03-16"
"New Mexico","2020-03-11","36","New Mexico",1182514,47232,1026,2096640,"17.285","0.4769",340,41198,46954,"4.8","0.9722276","17.5","14.2","43",5830,41,7214,"6","1","53.4","77.4","0.33","0.36","0.31","2020-03-16"
"Wyoming","2020-03-12","42","Wyoming",134018,14167,87,567025,"5.84","0.436",102,60095,69900,"3.7","1.0357789","18.7","18.9","58.7",1172,29,8320,"5","0","42","64.8","0.32","0.36","0.31","2020-03-20"
"North Dakota","2020-03-12","42","North Dakota",848765,46015,417,761723,"11.0393","0.4533",238,54306,72597,"2.2","1.0416198","18.3","15.6","34.9",2015,39,9851,"4.6","0","40.4","59.9","0.35","0.37","0.28","2020-03-16"
"Mississippi","2020-03-12","42","Mississippi",958073,120865,3348,2989260,"63.7056","0.4828",824,37994,37948,"5.4","0.92402613","22.2","26.1","59.9",6597,99,7646,"7.7","0","63.4","49.4","0.35","0.36","0.29","2020-03-20"
"Maine","2020-03-12","42","Maine",644435,6799,148,1345790,"43.6336","0.4519",256,48241,47969,"3.2","0.9578377","17.3","15.3","45.6",4721,34,9531,"5.9","0","41","38.7","0.26","0.37","0.37",NULL
"Idaho","2020-03-13","46","Idaho",387935,65088,630,1826156,"22.0969","0.4503",314,43155,43430,"2.7","1.0029769","14.3","11.9","44.1",3012,45,6927,"6.8","0","44.4","70.6","0.36","0.36","0.28","2020-03-23"
"Montana","2020-03-13","46","Montana",508931,34252,386,1086759,"7.4668","0.4667",165,47120,46609,"3.5","0.983896","17.2","10.7","47",2326,56,8221,"6.6","0","42.7","55.9","0.31","0.35","0.34","2020-03-16"
"Alaska","2020-03-13","46","Alaska",620170,17057,84,734002,"1.2863","0.4081",119,59687,73205,"5.8","1.0546875","21","12.1","35.3",1900,21,11064,"6.4","1","26.6","66","0.36","0.39","0.25","2020-03-19"
"Arkansas","2020-03-13","46","Arkansas",1363429,113641,1985,3038999,"58.403","0.4719",732,42566,42454,"3.5","0.95662993","22.3","18","61.7",7150,88,7408,"7.1","0","60.4","56.2","0.34","0.37","0.3","2020-03-17"
"District of Columbia","2020-03-16","50","District of Columbia",528174,17438,647,720687,"11814.541","0.542",314,47285,200277,"5.2","0.8885698","14.3","11.2","19.6",7346,10,11944,"9.8","0","54.65","100","0.3","0.48","0.22","2020-03-16"
"West Virginia","2020-03-18","56","West Virginia",794491,25235,458,1778070,"73.9691","0.4711",653,40578,43053,"4.9","0.960721","26","21.2","64.3",5685,56,9462,"7.6","0","51.8","48.7","0.29","0.36","0.35","2020-03-16"
